issue_id,store_id,store_name,region_id,region_name,reported_by_role,reporter_name,issue_type,severity,title,description,category,status,created_at,resolved_at,resolution_notes,escalated_to_regional,related_policy,affected_sku,estimated_revenue_impact_usd
ISS-001,STR-101,Greenfield Plaza,REG-NE,Northeast,store_manager,Maria Chen,inventory_gap,high,Organic milk shortage — supplier missed 2 deliveries,"Horizon Organic 64oz whole milk (SKU-4411) has been out of stock for 3 days. Supplier (DairyFresh Co) missed scheduled deliveries on 4/10 and 4/12. Customers are complaining — we sell ~120 units/week. Checked with neighboring store (Elm Street) and they are also affected.",inventory,open,2026-04-12T09:15:00Z,,Pending supplier escalation,yes,POL-INV-003: Vendor Non-Compliance Escalation,SKU-4411,480
ISS-002,STR-102,Elm Street Market,REG-NE,Northeast,store_manager,David Park,inventory_gap,medium,Same organic milk supplier delay — DairyFresh Co,"Confirming same issue as Greenfield Plaza. DairyFresh Co no-showed twice. We have 8 units left, maybe 1 day of stock. Need emergency substitute supplier authorization.",inventory,open,2026-04-12T10:30:00Z,,,yes,POL-INV-003: Vendor Non-Compliance Escalation,SKU-4411,360
ISS-003,STR-103,Harbor View,REG-NE,Northeast,store_manager,Lisa Nguyen,staffing,critical,3 call-outs on Saturday — cannot cover floor,"Three associates called out for Saturday shift (busiest day). Only 4 of 7 scheduled showed up. Bakery and deli sections are unstaffed. Overtime approval needed for remaining team + requesting emergency temp staffing.",staffing,in_progress,2026-04-12T06:45:00Z,,,yes,POL-HR-007: Emergency Staffing Protocol,N/A,2200
ISS-004,STR-104,Riverside Commons,REG-NE,Northeast,store_manager,James Wright,equipment_failure,critical,Walk-in cooler temperature alarm — perishables at risk,"Walk-in cooler #2 temperature reading 52°F (should be 35-38°F). Compressor making unusual noise. ~$8K worth of dairy and produce at risk. Called HVAC vendor (CoolTech) — earliest availability is Monday. Need emergency vendor authorization.",equipment,open,2026-04-12T04:20:00Z,,,yes,POL-MAINT-001: Emergency Equipment Failure,N/A,8000
ISS-005,STR-101,Greenfield Plaza,REG-NE,Northeast,store_manager,Maria Chen,compliance,medium,Health inspection scheduled for next week — prep checklist incomplete,"County health inspector visit confirmed for 4/18. Three checklist items still open: (1) employee handwashing log gaps for 4/8-4/10, (2) thermometer calibration overdue in deli, (3) pest control service report from March not filed. Need guidance on priority and any regional support.",compliance,in_progress,2026-04-11T14:00:00Z,,,no,POL-COMP-002: Health Inspection Readiness,N/A,0
ISS-006,STR-105,College Town Express,REG-NE,Northeast,store_manager,Priya Sharma,operational,low,Planogram reset delayed — seasonal endcap transition,"Spring seasonal endcap transition was due 4/7 but we're still showing winter clearance. Team hasn't had bandwidth due to inventory counts. Requesting 3-day extension or regional merchandising support.",operational,open,2026-04-11T11:00:00Z,,,no,POL-MERCH-004: Seasonal Transition Windows,N/A,150
ISS-007,STR-106,Downtown Central,REG-NE,Northeast,store_manager,Robert Kim,customer_escalation,high,Customer slip-and-fall incident — legal documentation needed,"Customer reported a slip near produce wet floor area at 2:15 PM. Incident report filed. Customer requested manager contact info and mentioned contacting attorney. Security camera footage preserved. Need guidance on corporate legal notification timeline.",safety,open,2026-04-11T14:30:00Z,,,yes,POL-SAFETY-001: Incident Response Protocol,N/A,0
ISS-008,STR-102,Elm Street Market,REG-NE,Northeast,store_manager,David Park,inventory_gap,low,Seasonal allergy medicine display empty — vendor managed,"Claritin and Zyrtec vendor-managed display is empty. Vendor (Johnson Distribution) usually restocks Wednesdays. Last restock was skipped. Not urgent but losing sales — allergy season peak.",inventory,open,2026-04-10T16:00:00Z,,,no,POL-INV-005: Vendor-Managed Inventory Gaps,SKU-7823,320
ISS-009,STR-103,Harbor View,REG-NE,Northeast,store_manager,Lisa Nguyen,staffing,medium,New hire onboarding delayed — POS training backlog,"Two new hires started 4/7 but still can't operate registers. Training module system was down 4/7-4/9. They're bagging only. Need them register-certified before weekend rush.",staffing,in_progress,2026-04-10T09:00:00Z,,,no,POL-HR-012: New Hire Certification Timeline,N/A,0
ISS-010,STR-107,Lakeside Fresh,REG-NE,Northeast,store_manager,Angela Torres,theft_shrinkage,high,Organized retail theft — cosmetics section hit 3 times this week,"Third incident of coordinated grab-and-run in cosmetics aisle. Estimated $1,200 in losses this week alone. LP camera caught 2 individuals. Filed police reports (#PR-2026-4412, #PR-2026-4418). Requesting anti-theft fixture budget approval.",shrinkage,open,2026-04-12T08:00:00Z,,,yes,POL-LP-003: Organized Retail Crime Response,N/A,1200
